Consignee_Name,Location,LinkedIn URL,LinkedIn Connected People,Company Website,Phone Numbers,Email
Orma Plaza Gen Trad Co W L L, Kuwait,,"https://www.volza.com/company-profile/orma-plaza-gen-trad-co-65630442/, https://www.volza.com/company-profile/orma-plaza-general-trading-co-w-l-l-37310765/, https://www.tradeatlas.com/en/firms/orma-plaza-gen-trad-co-w-l-l/0c615d6a6ce01089, https://www.volza.com/company-profile/orma-plaza-gen-trad-co-w-l-l-334801/, https://www.trademo.com/companies/orma-plaza-gen-trad-co-w-l-l/31458655, https://www.eximpedia.app/companies/orma-plaza-gen-trad-co-w-l-l/79532607, https://www.volza.com/company-profile/orma-plaza-general-trading-co-sabeha-commercial-al-matafi-street-30113054/, https://www.diamondbackenergy.com/static-files/7bfdabbe-7f37-4fa1-9edb-4653c630c901, https://www.diamondbackenergy.com/static-files/3a5373e5-60a7-4461-b3be-b1db4eeba981, https://www.nsa.gov/portals/75/documents/news-features/declassified-documents/uss-pueblo/damage-assessments/Cryptologic_Damage_Assessment_Vol_1.pdf",https://demo.chrisansgroup.com/orma_final/aboutus.html,"24761491, +965) 24761494, 00965 24758361, 24761494",
Hira Cargo Courier Services Sdn Bhd, Malaysia,https://qa.linkedin.com/company/ishrae-qatar-chapter,"https://www.facebook.com/p/Hira-Cargo-Courier-100078230620550/, https://www.facebook.com/p/Hira-Cargo-Courier-100078230620550/?locale=en_GB, https://www.facebook.com/p/Hira-Cargo-Courier-100078230620550/?locale=gn_PY, https://www.facebook.com/p/Hira-Cargo-Courier-100078230620550/?locale=mt_MT, https://www.facebook.com/p/Hira-Cargo-Courier-100078230620550/?locale=gl_ES, https://www.volza.com/company-profile/hira-cargo-courier-service-sdn-48228322/, https://www.tradeatlas.com/en/firms/hira-cargo-courier-services-sdn-b/d7d0ff26475add37, https://www.creditscan.com.my/Malaysia-Company/HIRA-CARGO-COURIER-SERVICES-SDN-BHD/1432018-T, https://my.linkedin.com/in/faizal-ramli-4435271a0, https://in.linkedin.com/in/mohit-hirapara-2811bb267",https://bn.linkedin.com/in/hira-chhantyal-507855157,,
Abdul Aziz S Al Sebaie Sons Co, Kuwait,https://www.linkedin.com/company/almutawagroupkw,"https://www.tradeatlas.com/en/firms/abdul-aziz-s-al-sebaie-son-co/34548a23bab8547a, https://panjiva.com/Abdul-Aziz-S-Al-Sebaie-Sons-Co/62217886, https://www.trademo.com/companies/abdul-aziz-s-al-sebaie-sons-co/33084040, https://www.volza.com/company-profile/abdul-aziz-s-al-sebaie-sons-company-70484051/, https://www.volza.com/company-profile/abdul-aziz-al-sebaie-sons-company-2180145/, https://www.volza.com/company-profile/abdul-aziz-s-al-sebaie-67448220/, https://www.eximpedia.app/companies/abdul-aziz-s-al-sebaie-and-son-co/66426683, https://www.volza.com/company-profile/abdul-aziz-al-sebaie-sons-68963403/, https://www.eximpedia.app/companies/zaiqa-food-industries/50438163, https://www.beatona.net/sites/default/files/magazine/document/kuwait%20national%20implementation%20plan%20to%20the%20Stockholm%20convention%20on%20persistent%20organic%20pollutants.pdf",https://www.aalghanim.com/,22263222,"Contactus@aalghanim.com, contactus@aalghanim.com, sales.leasing@alargan.com"
House of Spices India Inc,United States,https://ph.linkedin.com/company/houseofspices?trk=ppro_cprof,"https://in.linkedin.com/company/charcoaleats, https://www.linkedin.com/in/neil-s-4a8353a, https://www.linkedin.com/company/houseofspices, https://edc.nyc/sites/default/files/2020-09/House%20of%20Spices%20India%20Inc.pdf, https://www.linkedin.com/in/amrapalisoni, https://www.linkedin.com/in/sundeep-singh-lamba-04885b8, https://www.govinfo.gov/content/pkg/USCOURTS-ca3-23-02288/pdf/USCOURTS-ca3-23-02288-0.pdf, https://www.eximpedia.app/companies/house-of-spices-inc/94473672, https://www.linkedin.com/in/raswindersingh, https://www.acquisition.gov/far/part-25",https://www.hosindia.com/contactus,,
Ruby S Food Products Ltd, United Kingdom,https://ch.linkedin.com/company/ruby%27s-bakery-limited,"https://uk.linkedin.com/company/ruby's-food-products-ltd, https://uk.linkedin.com/in/ruby-amarteifio-079a68177, https://uk.linkedin.com/in/thivviyan-krishnasamy-39739227, https://www.tradeatlas.com/en/firms/ruby-s-food-products-ltd/07d2116b6e416a42, https://www.unilever.com/files/92ui5egz/production/0daddecec3fdde4d47d907689fe19e040aab9c58.pdf, https://sg.linkedin.com/in/ruby95, https://vn.linkedin.com/in/ruby-truong-a7646a134, https://ustr.gov/sites/default/files/2024%20NTE%20Report.pdf, https://in.linkedin.com/company/rubyfood, https://www.princess.com/en-us/legal/passage-contract/pcl",https://rubysfoodproducts.com/,020 8799 7180,"7180mail@rubysfoodproducts.comContact, mail@rubysfoodproducts.com"
Super Foods, Bahrain,https://hk.linkedin.com/company/foodsunlimited,"https://uk.linkedin.com/company/go-superfoods-ltd, https://www.tradeatlas.com/en/firms/super-foods-co-w-l-l/46ef1e8ddf59e19c, https://www.fh.org/about/careers/, https://www.gocivilairpatrol.com/programs/cadets/stripes-to-diamonds, https://www.greatermsp.org/, https://www.fsfreshfoods.com/, https://en.wikipedia.org/wiki/7-Eleven, https://www.ceres.org/, https://www.wfpusa.org/articles/effects-child-nutrition-academic-performance-how-school-meals-can-break-cycle-poverty/",https://gramisuperfoods.com/?srsltid=afmboop7xfvor2iuprznzfgluhe2ft0ccltxs5h_ty4pjjtquemabezt,,info@grami.in
LULU SAUDI HYPERMARKETS LLC, Saudi Arabia,https://www.linkedin.com/company/lulu-group/,"https://sa.linkedin.com/in/shehim-%F0%9F%A5%87-6724227, https://www.linkedin.com/posts/luluretail_mrshehim-director-of-lulu-saudi-hypermarkets-activity-7292210424094064640-1IW3, https://sa.linkedin.com/in/muhammed-abdulla-5a2b1b75, https://en.wikipedia.org/wiki/LuLu_Group_International, https://www.luluretail.com/media/3p4ny5qx/lulu-retail-increases-the-size-of-public-offering-en.pdf, https://bh.linkedin.com/in/abdul-shukoor-18732589, https://sa.linkedin.com/in/ramshad-hassan-23b4a84, https://www.linkedin.com/company/lulu-group/, https://www.instagram.com/luluretailholdings/p/DFnc7Gxo-da/, https://ipo.emiratesnbd.com/-/media/ipo/files/lulu/lulu-prospectus-en.pdf",https://gcc.luluhypermarket.com/en-sa/contactus,"8001000330, 1010227701, 300060864110003",
National Bank of Kuwait, Kuwait,https://www.linkedin.com/company/nbkgroup,"https://kw.linkedin.com/in/salah-alfulaij-30a81a127, https://eg.linkedin.com/in/tarek-abuelnaga-721423135, https://www.nbk.com/about-nbk-group/who-we-are.html, https://sa.linkedin.com/in/amro-abbas-04491431, https://www.warbabank.com/english/annual-reports/home/the-corporate-governance-report/board-of-directors, https://www.globaldata.com/company-profile/national-bank-of-kuwait-sak/executives/, https://en.wikipedia.org/wiki/NBK_Capital, https://www.bbkonline.com/, https://www.unrwa.org/, https://uk.linkedin.com/in/bassem-boustany-cfa-frm-6727b44",https://parisonline.nbki.com/contact,"+44 207 872 5456, +44 207 486 3877, +44 207 224 2101, +44 207 224 2277","info@nbki.com, OBparis@nbki.com"
Tasty Food International Trading LLC, United Arab Emirates,https://gh.linkedin.com/company/bluefin-sushi-trading-llc,"https://ae.linkedin.com/in/shaji-balayambath-20ba724b, https://www.linkedin.com/company/tasty-food-group, https://tastyfood.ae/about-us/?srsltid=AfmBOorzW0ns95n8BU5sxPl_DC9s6_BS_HYJz-I9zVxZolU2R_8bb0QZ, https://www.facebook.com/tastyfoodgroup/, https://www.volza.com/company-profile/tasty-food-international-trading-19293084/, https://www.wemeanbusinesscoalition.org/blog/country/united-arab-emirates/page/4/, https://iffco.com/contact-us/, https://www.summit.ae/, https://www.trademo.com/companies/tasty-food-international-trading/40665890, https://ae.linkedin.com/in/zohare",https://tastyfood.ae/contact-us/?srsltid=afmboop49sypweu3jurasc3gjcvhuqravke0ig0hgxbilfhl12nnpjwa,"058 119 4751, 06 534 6034",care@tastyfoodme.com
Baniyas Spike Trading Co LLC, United Arab Emirates,https://www.linkedin.com/company/baniyas-spike-llc/,"https://baniyasspikegroupllc.com/, https://www.linkedin.com/company/baniyas-spike-llc/, https://baniyasspikegroupllc.com/directors/ceos-message/, https://ae.linkedin.com/in/shakkir-aliyar-519242136, https://ae.linkedin.com/in/rahul-mathew-1079b265, https://www.trademo.com/companies/baniyas-spike-trading-co-llc/37918543, https://baniyasspikegroupllc.com/directors/cmds-message/, https://www.dnb.com/business-directory/company-information.other_support_services.ae.html, https://ae.linkedin.com/in/rashid-abdurahiman-a02355108, https://www.linkedin.com/pub/dir/Ashiq/Ali/ae-0-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9",https://baniyasspikegroupllc.com/,,
PRIME FOOD PRODUCTS LTD, United Kingdom,https://uk.linkedin.com/company/prime-source-foods-ltd,"https://uk.linkedin.com/in/sean-tennant-aab460110, https://uk.linkedin.com/in/jules-o-keefe-4a20816, https://www.novartis.com/, https://www.acquisition.gov/far/subpart-31.2, https://crsreports.congress.gov/product/pdf/R/R47828, https://www.linkedin.com/company/prime-food-products-pvt-ltd, https://www.mercedes-benz-trucks.com/gb/en/home.html, https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19, https://www.fn.com.my/about-us/, https://www.acquisition.gov/dfars/part-225-foreign-acquisition",https://www.primesourcefoods.biz/,"+1 800-842-5553, +1 800-334-2449, +1 888-440-2449",
EXIMTICS INTERNATIONAL PVT LTD, Maldives,,"https://www.eximtics.com/, https://www.tradeatlas.com/en/firms/eximtics-international-pvt-ltd/b779fb3a910314f4, https://tradedata.pro/trade-database-demo/maldives/import-data/company/eximtics-international-pvt-ltd/",https://www.eximtics.com/contact-us/,"+960 959 0010, +03 55650 5164, +601 12345 4964, +960 333 0010","sales.mv@eximtics.com, sales@eximtics.com"
Ansell Dellis Company Limited, Nigeria,,"https://www.ansell.com/ph/en/about-us, https://www.facebook.com/AnsellCorporate/, https://www.tradeatlas.com/en/firms/ansell-dellis-company-ltd/625a426ae9a586c0, https://www.volza.com/company-profile/ansell-dellis-company-limited-64028957/, https://ng.linkedin.com/in/chux-ononuju-43148a63, https://www.trademo.com/companies/ansell-dellis-company-limited/40605114, https://www.njeda.gov/wp-content/uploads/2024/01/December-14-2023-EDA-Board-Book.pdf, https://www.eximpedia.app/companies/ansell-dellis-and-company-limited/46918805, https://scholar.harvard.edu/files/mstephenson/files/stephenson_corruption_bibliography_nov_2021.pdf, https://research.columbia.edu/sites/default/files/content/EHS%20Handbook%202020%20FINAL.pdf",https://www.ansell.com/dk/en/about-us,,
A S T Private Limited, Nepal,https://np.linkedin.com/company/ast-pvt-ltd,"https://www.dnb.com/business-directory/company-profiles.ast_pvt_ltd.1bea281d71d8145ec5934602b43364d0.html, https://np.linkedin.com/company/ast-pvt-ltd, https://np.linkedin.com/in/mukund-agarwal-3a09a614b, https://np.linkedin.com/in/er-kamsul-alam-62322b14b, https://np.linkedin.com/in/bijay-shah-097b31b4, https://www.facebook.com/QualityWithDifference/, https://np.linkedin.com/in/praveen-banka-7b9b4645, https://www.epfindia.gov.in/site_docs/PDFs/Abry/ABRY_Beneficiaries_Upload.pdf, https://www.itcportal.com/about-itc/shareholder-value/annual-reports/itc-annual-report-2024/pdf/ITC-Report-and-Accounts-2024.pdf, https://ast-science.com/wp-content/uploads/2023/08/q2-2023-10q.pdf",https://alliedchem.org/,"+977 9802922281, +977 9802921873, +977 9802588543, +977-51-518412, +977 9802921812, +977 9802921865, +977-1-5218016, +977-1-5219033, +977-1-5219832, +977-1-5219255","prince@alliedchem.orgQuick, prince@alliedchem.org, butwal@alliedchem.com, nirmesh@alliedchem.org, praveen@alliedchem.org, nikhil@alliedchem.org, allied@alliedchem.org"
Al Maya International WLL, Bahrain,https://www.linkedin.com/company/neia-solutions,"https://www.almaya.ae/bahrain/, https://www.dnb.com/business-directory/company-profiles.al_maya_international_wll.4ecb276b4dfab5b29a15905f614b89c7.html, https://www.almaya.ae/bahrain/contact-us.php, https://www.almaya.ae/bahrain/about-us.php, https://www.linkedin.com/company/al-maya-group, https://www.almaya.ae/, https://www.treasury.gov/ofac/downloads/sdnlist.pdf, https://www.almaya.ae/kuwait/about-us.php, https://jusmundi.com/en/document/decision/en-al-maya-trading-establishment-v-global-export-marketing-co-ltd-opinion-order-of-the-united-states-district-court-for-the-southern-district-of-new-york-friday-17th-march-2017, https://www.trademo.com/bahrain/buyers/hscode/170199/3",https://www.almaya.ae/bahrain/contact-us.php,"+973 17 777 679, +973 17 777 689",operations.bh@almaya.ae
Datar and Sons Ltd L L C, Oman,https://www.linkedin.com/company/noor-shopping,"https://in.linkedin.com/company/datar-sons-limited-llc?trk=public_profile_experience-item_profile-section-card_subtitle-click, https://ae.linkedin.com/in/rithesh-nampelli-5a79811a, https://ae.linkedin.com/in/sanjay-datar-a5a230b1, https://www.zoominfo.com/c/datar--sons-limited-llc/459913191, https://ae.linkedin.com/in/shaifuddin-chowdhury-3a717b20, https://www.tradeatlas.com/en/firms/datar-and-sons-ltd-l-l-c-sol/c6d8d7a50125e462, https://ae.linkedin.com/in/shashi-shekar-00644161, https://www.volza.com/company-profile/datar-and-sons-ltd-llc-71879301/, https://www.sec.gov/Archives/edgar/data/1283699/000119312518310671/d589303d424b3.htm, https://www.thetradevision.com/global/hing-asafoetida-import-export-data",https://datarspices.ae/contact-us/,"+91 22 40051599, 9716 7435240, 971 674 3524, 91 22 4004 2208, 9716 7436963, +91 22 2666 1965, +91 9820874721",datarsm@eim.ae
